stage	id	startpos	dir	answer	text
12	0	40	1	택하신	택하신
12	0	75	1	족속	족속
12	0	28	0	왕같은	왕같은
12	0	32	0	제사장	제사장
13	159	3	0	축복하시고	/복///
13	160	9	0	망대	//
13	161	16	0	난산	//
13	162	21	0	결의	/의
13	163	36	0	심장	//
13	164	47	0	나실인	//인
13	165	51	0	가나안	///
13	166	54	0	날개	//
13	167	58	0	으뜸	으/
13	168	61	0	무식	//
13	169	65	0	베드로	//로
13	170	72	0	스바냐	///
13	171	76	0	살로메	살//
13	172	87	0	나사로	///
13	173	0	1	소망	//
13	174	36	1	심판날	///
13	175	72	1	스랍	//
13	176	10	1	대제사장	//사/
13	177	65	1	베냐민	///
13	178	21	1	결과	/과
13	179	24	1	치유	/유
13	180	69	1	바메나	///
13	181	7	1	고난	//
13	182	34	1	로뎀나무	로///
13	183	17	1	산파	//
13	184	53	1	안식	//
13	185	80	1	두로	//
13	0	4	1	복음의	복음의
13	0	40	1	증인으로살자	증인으로살자
13	0	28	0	사랑과	사랑과
13	0	32	0	온유로	온유로
14	186	0	0	랍비	//
14	187	6	0	인자함	///
14	188	10	0	천하	//
14	189	13	0	은장색	은//
14	190	43	0	복음	//
14	191	45	0	하로에	///
14	192	49	0	은신처	은//
14	193	64	0	아겔다마	///마
14	194	69	0	드고아	///
14	195	76	0	음악	
14	196	81	0	유스도	
14	197	86	0	기드온	
14	198	36	1	벤하닷	
14	199	1	1	비천	
14	200	64	1	아모스	
14	201	11	1	하찮은	
14	202	47	1	에스겔	
14	203	50	1	신자	
14	204	77	1	악기	
14	205	6	1	인색	
14	206	34	1	매복	
14	207	61	1	이고니온	
14	208	8	1	함못돌	
14	209	44	1	음료	
14	0	4	1	같은말	같은말
14	0	40	1	같은	같은
14	0	67	1	마음	마음
14	0	28	0	같은뜻	같은뜻
14	0	32	0	같은;열매	;열매
15	210	0	0	영생	
15	211	4	0	나아만	
15	212	10	0	명예	
15	213	15	0	나오미	
15	214	36	0	중재	
15	215	40	0	호적	
15	216	43	0	계시	
15	217	46	0	핫다아와	
15	218	69	0	감람산	
15	219	74	0	후메내오	
15	220	81	0	보혜사	
15	221	85	0	가이사랴	
15	222	63	1	야고보	
15	223	1	1	생명	
15	224	28	1	주재	
15	225	11	1	예수님	
15	226	38	1	바다	
15	227	74	1	후사	
15	228	77	1	오이	
15	229	6	1	만나	
15	230	60	1	영감	
15	231	34	1	해시계	
15	232	8	1	갓미엘	
15	233	53	1	시내산	
15	0	28	0	주님을	주님을
15	0	32	0	사랑해	사랑해
15	0	4	1	나의힘	나의힘
15	0	40	1	여호와여내가	여호와여내가
